objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
70725,SN,2020zlg,167.482230496,36.9457618713,0.03,4,SN Ib,74,ALeRCE,48,ZTF,2020-11-12 12:22:21.999,19.9564,110,g,"F. Forster, F.E. Bauer, A. Munoz-Arancibia, L. Hernandez-Garcia, G. Pignata, L. Galbany, G. Pignata, E. Camacho, J. Silva-Farfan, A. Mourao, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2020-11-12 21:03:09,"ZTF20acpzaoa, PS20lvr",2020TNSTR3425....1F,2020TNSCR3837....1D,2020-11-12 21:04:05,2020-12-18 17:04:23
68772,SN,2020wpq,31.2119151589,-17.761221437,0.038,4,SN Ib,48,ZTF,48,ZTF,2020-10-14 08:00:14.400,19.7425,111,r,K. De (Caltech) on behalf of ZTF,2020-10-14 22:01:24,"ZTF20acjbzrh, PS20jxd, ATLAS20beav",2020TNSTR3118....1D,2020TNSCR3243....1G,2020-10-14 22:01:25,2020-10-24 19:10:54
65629,SN,2020sai,48.345208,6.635,0.03,4,SN Ib,48,ZTF,48,ZTF,2020-08-21 10:49:26.400,20.04,110,g,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2020-08-25 18:35:10,"ZTF20abvquuo, Gaia20eiu, PS20hrn",2020TNSTR2604....1F,2020TNSCR2904....1D,2020-08-25 18:35:11,2020-09-22 01:24:39
55244,SN,2020eai,74.7835433309,4.97272402797,0.015621,4,SN Ib,48,ZTF,48,ZTF,2020-03-05 03:23:05.856,18.57,110,g,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2020-03-05 05:13:44,"ZTF20aaskdhj, PS20yz, ATLAS20hth",2020TNSTR.728....1N,2020TNSCR.809....1P,2020-03-05 05:13:46,2020-08-31 10:11:02
62759,SN,2020obn,225.338030982,65.5042711344,0.031288,4,SN Ib,48,ZTF,48,ZTF,2020-07-07 04:49:00.480,19.402,111,r,K. De (Caltech) on behalf of ZTF,2020-07-07 05:00:46,"ZTF20abjpvce, PS20ets, ATLAS20sfj",2020TNSTR2058....1D,2020TNSCR2328....1P,2020-07-07 05:00:46,2020-07-29 17:56:38
47582,SN,2019txt,149.7765959,17.8194435,0.02639,4,SN Ib,48,ZTF,48,ZTF,2019-04-28 06:14:10.000,19.6855,111,r,K. De (Caltech) on behalf of ZTF,2019-11-02 07:41:38,ZTF19aasqseq,2019TNSTR2251....1D,2020TNSCR2316....1D,2019-11-02 07:41:38,2020-07-28 19:52:45
47574,SN,2019txl,143.2473696,27.5021678,0.033863,4,SN Ib,48,ZTF,48,ZTF,2019-03-14 04:54:57.000,20.0179,111,r,K. De (Caltech) on behalf of ZTF,2019-11-02 07:16:48,ZTF19aanfsmc,2019TNSTR2251....1D,2020TNSCR2316....1D,2019-11-02 07:16:48,2020-07-28 19:51:18
62303,SN,2020nke,256.25775,23.156881,0.0308,4,SN Ib,74,ALeRCE,48,ZTF,2020-06-24 05:49:05.002,19.5638,111,r,"F. Forster, F.E. Bauer, L. Galbany, G. Pignata, E. Camacho, J. Silva-Farfan, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, F.E. Bauer, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2020-06-24 21:14:09,"ZTF20abhlncz, ATLAS20qsj, PS20env, Gaia20ddf",2020TNSTR1909....1F,2020TNSCR2052....1D,2020-06-24 21:14:13,2020-06-24 21:14:13
62039,SN,2020nac,10.8526805,50.67445985,0.017409,4,SN Ib,74,ALeRCE,48,ZTF,2020-06-18 09:24:39.997,17.973,110,g,"F. Forster, F.E. Bauer, L. Galbany, G. Pignata, E. Camacho, J. Silva-Farfan, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, F.E. Bauer, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2020-06-18 18:59:21,"ZTF20abgbxvb, ATLAS20rxw",2020TNSTR1835....1F,2020TNSCR1891....1D,2020-06-18 18:59:36,2020-06-18 18:59:36
60581,SN,2020kzs,258.72927125714,35.520478857143,0.0374,4,SN Ib,48,ZTF,48,ZTF,2020-05-25 07:32:50.208,19.34,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2020-05-25 10:47:38,ZTF20abbpkng,2020TNSTR1558....1N,2020TNSCR1985....1D,2020-05-25 10:47:42,2020-05-25 10:47:42
60517,SN,2020kxg,200.002106212,-16.661127205,0.015,4,SN Ib,48,ZTF,48,ZTF,2020-05-24 06:00:37.152,19.06,110,g,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2020-05-24 07:46:55,"ZTF20abbhrrt, ATLAS20nmj, PS20dve",2020TNSTR1546....1N,2020TNSCR1773....1D,2020-05-24 07:46:57,2020-05-24 07:46:57
60380,SN,2020ksa,164.866434151,46.1245689584,0.022239,4,SN Ib,48,ZTF,48,ZTF,2020-05-22 04:18:34.848,18.8,110,g,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2020-05-22 06:06:23,"ZTF20abaszgh, ATLAS20npg, PS20dtg",2020TNSTR1457....1N,2020TNSCR1908....1D,2020-05-22 06:06:32,2020-05-22 06:06:32
59659,SN,2020jqx,214.55743925,-5.9418983,0.0599,4,SN Ib,74,ALeRCE,48,ZTF,2020-05-11 05:18:37.002,18.5371,110,g,"F. Forster, F.E. Bauer, L. Galbany, G. Pignata, E. Camacho, J. Silva-Farfan, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, F.E. Bauer, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2020-05-11 20:29:56,"ZTF20aazhyrs, ATLAS20mga",2020TNSTR1297....1F,"2020TNSCR1701....1J, 2020TNSCR1756....1D",2020-05-11 20:30:10,2020-05-11 20:30:10
59039,SN,2020itj,218.701639922,8.16956133833,0.033,4,SN Ib,74,ALeRCE,48,ZTF,2020-05-01 08:37:32.998,20.0287,111,r,"F. Forster, F.E. Bauer, L. Galbany, G. Pignata, E. Camacho, J. Silva-Farfan, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, F.E. Bauer, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2020-05-01 20:40:22,"ZTF20aaxvzja, ATLAS20mfc, PS20dtk",2020TNSTR1187....1F,2020TNSCR1269....1G,2020-05-01 20:40:24,2020-05-01 20:40:24
58365,SN,2020htt,157.90993525,-17.85224485,0.023,4,SN Ib,85,SIRAH,48,ZTF,2020-04-17 06:18:00.000,18.66,22,r,"Mi Dai, Saurabh Jha, Daichi Hiramatsu, Ismael Perez-Fournon, on behalf of the SIRAH team",2020-04-19 19:54:58,"ZTF20aavgmli, ATLAS20krp",2020TNSTR1073....1D,2020TNSCR1081....1P,2020-04-19 19:54:59,2020-04-19 19:54:59
58224,SN,2020hoi,183.440695699,24.3559895926,0.02091,4,SN Ib,48,ZTF,48,ZTF,2020-04-15 05:57:21.024,19.92,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2020-04-17 06:59:10,"ZTF18aakkrjm, ATLAS20kix, PS20cfo",2020TNSTR1061....1N,2020TNSCR1155....1P,2020-04-17 06:59:11,2020-04-17 06:59:11
56697,SN,2020fkb,172.126817,58.562994,0.01,4,SN Ib,74,ALeRCE,48,ZTF,2020-03-28 06:19:45.002,17.828,110,g,"G. Pignata, F.E. Bauer, F. Forster, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, F.E. Bauer, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2020-03-30 00:54:03,"ZTF18aarlpzd, , XM122HT",2020TNSTR.909....1P,2020TNSCR.967....1B,2020-03-30 00:54:13,2020-03-30 00:54:13
54225,SN,2020cpg,208.074917,13.575481,0.037,4,SN Ib,48,ZTF,48,ZTF,2020-02-15 12:02:07.000,18.79,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2020-02-15 13:23:03,"ZTF20aanvmdt, Gaia20auy, ATLAS20gcf, PS20ahf",2020TNSTR.511....1N,"2020TNSCR.571....1P, 2020TNSCR1498....1A",2020-02-15 13:23:07,2020-02-15 13:23:07
54127,SN,2020cln,124.8828213,-3.8834686,0.041,4,SN Ib,48,ZTF,48,ZTF,2020-02-12 06:33:50.000,19.8124,111,r,K. De (Caltech) on behalf of ZTF,2020-02-14 02:01:10,ZTF20aamrryv,2020TNSTR.494....1D,2020TNSCR.570....1A,2020-02-14 02:01:11,2020-02-14 02:01:11
53533,SN,2020bpf,103.847875,27.721969,0.02723,4,SN Ib,48,ZTF,48,ZTF,2020-01-28 04:38:29.000,20.5059,110,g,K. De (Caltech) on behalf of ZTF,2020-02-01 20:03:25,"ZTF20aalcyih, ATLAS20fpq, Gaia20azo",2020TNSTR.357....1D,2020TNSCR.534....1D,2020-02-01 20:03:26,2020-02-01 20:03:26
53189,SN,2020bcq,201.623567886,36.0085283506,0.018,4,SN Ib,48,ZTF,48,ZTF,2020-01-27 11:23:53.000,19.11,110,g,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2020-01-27 13:45:32,"ZTF20aajcdad, ATLAS20enf, PS20ll",2020TNSTR.284....1N,2020TNSCR.391....1D,2020-01-27 13:45:34,2020-01-27 13:45:34
52986,SN,2020avf,165.747583,-16.292069,0.013006,4,SN Ib,74,ALeRCE,48,ZTF,2020-01-25 07:33:02.000,18.8005,111,r,"F. Forster, G. Pignata, F.E. Bauer, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, F.E. Bauer, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2020-01-25 16:33:36,"ZTF20aaiahra, Gaia20ana, ATLAS20onj",2020TNSTR.253....1F,"2020TNSCR.369....1I, 2020TNSCR1489....1D",2020-01-25 16:33:41,2020-01-25 16:33:41
49318,SN,2019wmc,183.4660245,14.22100798,0.05016,4,SN Ib,74,ALeRCE,48,ZTF,2019-12-13 13:32:47.000,18.184,110,g,"F. Forster, F.E. Bauer, G. Pignata, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, F.E. Bauer, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2019-12-13 17:37:04,"ZTF19acyjzeo, ATLAS19bdhh",2019TNSTR2587....1F,"2019TNSCR2640....1M, 2020TNSCR1499....1D",2019-12-13 17:37:09,2019-12-13 17:37:09
47776,SN,2019uff,4.805333,-14.397839,0.026612,4,SN Ib,48,ZTF,48,ZTF,2019-11-02 04:58:42.000,19.59,110,g,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-11-05 05:22:32,"ZTF19acmelor, ATLAS19babr, Gaia19eyj",2019TNSTR2282....1N,2019TNSCR2367....1D,2019-11-05 05:22:32,2019-11-05 05:22:32
46526,SN,2019sjx,127.5623977,39.89234385,0.0305,4,SN Ib,74,ALeRCE,48,ZTF,2019-10-10 11:12:46.000,19.7827,110,g,F. Forster on behalf of the ALeRCE broker,2019-10-10 14:21:23,"ZTF19acdabep, ATLAS19ype",2019TNSTR2051....1F,2019TNSCR2340....1D,2019-10-10 14:21:26,2019-10-10 14:21:26
45897,SN,2019rlw,108.083042,66.203531,0.027,4,SN Ib,74,ALeRCE,48,ZTF,2019-09-30 10:50:28.000,19.7296,110,g,F. Forster on behalf of the ALeRCE broker,2019-09-30 15:25:27,"ZTF19acbmojx, PS19gbq, Gaia19esv",2019TNSTR1946....1F,2019TNSCR2039....1D,2019-09-30 15:25:31,2019-09-30 15:25:31
45497,SN,2019qwo,46.401583,-21.82625,0.045,4,SN Ib,48,ZTF,48,ZTF,2019-09-22 12:02:49.000,19.18,110,g,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-09-25 09:54:11,"ZTF19abzqywg, Gaia19ehm, PS19fzp",2019TNSTR1912....1N,2019TNSCR2026....1D,2019-09-25 09:54:12,2019-09-25 09:54:12
45476,SN,2019qvt,47.256417,24.043939,0.0535,4,SN Ib,48,ZTF,48,ZTF,2019-09-21 10:35:04.000,19.66,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-09-24 12:19:16,"ZTF19abztknu, ATLAS19wln, Gaia19ejo, PS19hvr",2019TNSTR1905....1N,2019TNSCR2115....1D,2019-09-24 12:19:18,2019-09-24 12:19:18
44354,SN,2019pfb,294.9470933,59.3679986,0.03683,4,SN Ib,74,ALeRCE,48,ZTF,2019-09-01 07:36:43.000,19.0551,110,g,F. Forster on behalf of the ALeRCE broker,2019-09-01 15:23:31,ZTF19abvdgqo,2019TNSTR1684....1F,"2019TNSCR1749....1T, 2019TNSCR2851....1F",2019-09-01 15:23:33,2019-09-01 15:23:33
44189,SN,2019oys,106.996917,31.665361,0.016501,4,SN Ib,48,ZTF,48,ZTF,2019-08-28 11:36:57.000,19.14,110,g,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2019-08-29 18:08:23,"ZTF19abucwzt, Gaia19dwe, ATLAS19uui, PS19gjs",2019TNSTR1661....1F,2019TNSCR1846....1F,2019-08-29 18:08:24,2019-08-29 18:08:24
43859,SN,2019omd,9.24081780411,-3.82755302241,0.082,4,SN Ib,48,ZTF,48,ZTF,2019-08-24 09:32:36.000,19.01,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-08-24 11:51:58,"ZTF19abqxibq, PS19faz",2019TNSTR1608....1N,2020TNSCR1972....1D,2019-08-24 11:52:00,2019-08-24 11:52:00
43838,SN,2019oli,14.5250442119,-15.5585913811,0.065,4,SN Ib,74,ALeRCE,48,ZTF,2019-08-23 10:00:50.000,19.3533,110,g,F. Forster on behalf of the ALeRCE broker,2019-08-23 20:07:02,"ZTF19abrirmk, PS19fjn",2019TNSTR1589....1F,2019TNSCR1961....1D,2019-08-23 20:07:08,2019-08-23 20:07:08
43486,SN,2019nxu,0.801758977986,-10.83528251,0.0296,4,SN Ib,48,ZTF,48,ZTF,2019-08-15 09:31:39.000,19.5,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-08-20 13:17:27,"ZTF19abqqrgy, ATLAS19unf, PS19gfq",2019TNSTR1555....1N,2019TNSCR1961....1D,2019-08-20 13:17:28,2019-08-20 13:17:28
42049,SN,2019luy,6.08899116046,10.1024529941,0.045,4,SN Ib,48,ZTF,48,ZTF,2019-07-26 10:06:54.000,19.48,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-07-26 14:45:25,"ZTF19abiqnpv, PS19eyb",2019TNSTR1330....1N,2019TNSCR1390....1A,2019-07-26 14:45:31,2019-07-26 14:45:31
36653,SN,2019dxr,227.863141939,5.20055158629,0.04,4,SN Ib,48,ZTF,48,ZTF,2019-04-15 09:06:36.000,20.47,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-04-25 05:30:49,"ZTF19aarnqys, ATLAS19hxo, PS19wz",2019TNSTR.635....1N,"2019TNSCR.772....1S, 2019TNSCR2809....1F",2019-04-25 05:30:51,2019-04-25 05:30:51
36208,SN,2019dgw,287.7991293,48.4926506,0.095,4,SN Ib,48,ZTF,48,ZTF,2019-04-11 11:47:45.000,18.84,110,g,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-04-11 13:14:10,ZTF19aapwnmb,2019TNSTR.548....1N,2019TNSCR.733....1F,2019-04-11 13:14:11,2019-04-11 13:14:11
36190,SN,2019dge,264.1947591,50.5478107,0.0213,4,SN Ib,48,ZTF,48,ZTF,2019-04-07 10:44:44.000,18.76,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-04-11 11:18:09,"ZTF18abfcmjw, ATLAS19bftt",2019TNSTR.548....1N,"2020TNSCR.913....1Y, 2020TNSCR1667....1D",2019-04-11 11:18:10,2019-04-11 11:18:10
35215,SN,2019bwi,141.354254,65.4675014,0.02968,4,SN Ib,48,ZTF,48,ZTF,2019-03-14 04:41:23.000,18.85,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2019-03-18 09:33:48,"ZTF19aamgghn, ATLAS19gul",2019TNSTR.404....1N,"2019TNSCR.446....1F, 2019TNSCR2789....1F",2019-03-18 09:33:48,2019-03-18 09:33:48
34819,SN,2019bhh,221.871258747,-4.93498971841,0.0439,4,SN Ib,48,ZTF,48,ZTF,2019-02-26 08:02:24.000,18.81,111,r,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2019-02-28 08:51:44,"ZTF19aalahqa, PS19cwn, ATLAS19gva",2019TNSTR.299....1F,2019TNSCR.411....1F,2019-02-28 08:51:45,2019-02-28 08:51:45
32914,SN,2018lai,135.560670262,14.5072871363,0.031,4,SN Ib,48,ZTF,48,ZTF,2018-12-28 10:34:41.000,18.85,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2018-12-29 11:58:00,"ZTF18aczcumi, PS19bf",2018TNSTR2003....1N,2019TNSCR..32....1F,2018-12-29 11:58:00,2018-12-29 11:58:00
31352,SN,2018isl,123.699625,33.888389,0.0445,4,SN Ib,48,ZTF,48,ZTF,2018-11-16 11:28:14.000,18.9326,111,r,"J. Nordin, V. Brinnel, M. Giomi, J. van Santen (HU Berlin), A. Gal-Yam, O. Yaron, S. Schulze (Weizmann) on behalf of ZTF",2018-11-20 14:49:56,"ZTF18acnncve, ATLAS18zlk, Gaia18dph",2018TNSTR1801....1N,2020TNSCR1972....1D,2018-11-20 14:49:59,2018-11-20 14:49:59
28693,SN,2018eva,238.0443962,13.0226953,0.04,4,SN Ib,48,ZTF,48,ZTF,2018-08-02 06:33:07.000,19.17,111,r,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2018-08-09 23:04:46,ZTF18abjyjdz,2018TNSTR1132....1F,2018TNSCR1271....1F,2018-08-09 23:04:47,2018-08-09 23:04:47
27004,SN,2018cim,239.413792,78.612231,0.035,4,SN Ib,48,ZTF,48,ZTF,2018-06-06 09:17:16.000,18.41,111,r,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2018-06-10 05:06:25,"ZTF18aaygwqd, Gaia18bnt",2018TNSTR.790....1F,2018TNSCR.815....1F,2018-06-10 05:06:26,2018-06-10 05:06:26
