"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"207128","SN 2026kne","17:52:14.690","-78:03:43.36","SN Ia","0.06","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS26ere","ATLAS-CHL - ATLAS-04","ESO-NTT - EFOSC2-NTT","1","1","","18.712","orange-ATLAS","2026-04-23 06:56:09.600","ATLAS_Bot1","","","2026TNSTR1777....1T","2026TNSCR1936....1K","",""
"207123","SN 2026kmz","09:06:59.949","+57:27:05.81","SN Ia","0.046","","","ATLAS","ATLAS","Padova-Asiago","ATLAS","ATLAS26eqy","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05","Ekar - AFOSC","1","1","","17.584","wide-ATLAS","2026-04-22 20:53:13.056","ATLAS_Bot1","","","2026TNSTR1777....1T","2026TNSCR1829....1R","",""
"207122","SN 2026kmy","10:15:26.596","+65:58:10.23","SN Ia","0.045","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS, ZTF","ATLAS26eqx","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.829","wide-ATLAS","2026-04-22 22:07:06.240","ATLAS_Bot1","","","2026TNSTR1777....1T","2026TNSCR2018....1F","",""
"207112","SN 2026kmo","09:46:42.035","-14:52:03.22","SN II","0.014033","","","GOTO, ATLAS, ZTF","GOTO, ATLAS, ZTF","GOTO","ATLAS, GOTO, ZTF","GOTO26drc","ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","18.69","L-GOTO","2026-04-23 08:58:39.648","GOTO_bot","","","2026TNSTR1782....1A","2026TNSCR1860....1P","",""
"207110","SN 2026kmm","16:23:34.394","+36:00:12.88","SN","0.031","","","GOTO, ATLAS, ZTF, Pan-STARRS, YSE","GOTO, ATLAS, ZTF, Pan-STARRS","SCAT","ATLAS, GOTO, Pan-STARRS, ZTF","GOTO26dql","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","19.38","L-GOTO","2026-04-22 01:32:29.472","GOTO_bot","","","2026TNSTR1780....1R","2026TNSCR1837....1A","",""
"207038","SN 2026kjv","15:19:03.103","+04:20:12.03","SN Ia-91bg-like","0.046798","","","ZTF, GOTO, Pan-STARRS","ZTF, GOTO, Pan-STARRS","ZTF","GOTO, Pan-STARRS, ZTF","ZTF26aatyciy","GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS2 - GPC2","NOT - ALFOSC","1","1","","20.4286","r-ZTF","2026-04-20 09:45:51.001","Fritz","","","2026TNSTR1787....1S","2026TNSCR1869....1S","",""
"207033","SN 2026kjq","14:01:01.095","+05:26:29.05","SLSN-I","0.147","","","ZTF, Fink, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF26aatlolu","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","20.3519","g-ZTF","2026-04-20 07:34:16.003","Fritz","","","2026TNSTR1787....1S","2026TNSCR1866....1J","",""
"207032","SN 2026kjp","13:34:09.976","-13:25:23.03","SN Ia","0.096","","","ZTF, GOTO, ATLAS, Fink, LAST","ZTF, GOTO, ATLAS, LAST","ZTF","ATLAS, GOTO, LAST, ZTF","ZTF26aatvsoq","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4, LAST - LAST-Cam, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.4385","r-ZTF","2026-04-17 07:40:34.996","Fritz","","","2026TNSTR1787....1S","2026TNSCR1983....1J","",""
"207029","SN 2026kjm","12:24:35.400","+07:43:41.00","SN Ia","0.073","","","ZTF, ATLAS, GOTO, Fink","ZTF, ATLAS, GOTO","ePESSTO+, ZTF","ATLAS, GOTO, ZTF","ZTF26aatktdb","ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","20.5338","g-ZTF","2026-04-18 07:54:39.003","Fritz","","","2026TNSTR1787....1S","2026TNSCR1949....1K, 2026TNSCR1981....1F","",""
"207012","SN 2026kiz","21:48:48.822","-31:12:15.43","SN Ia","0.09","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26epx","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","19.14","orange-ATLAS","2026-04-22 09:04:18.336","ATLAS_Bot1","","","2026TNSTR1763....1T","2026TNSCR1949....1K","",""
"207009","SN 2026kiw","23:17:20.313","-17:20:21.31","SN Ia","0.042","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26epu","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, GOTO-S - GOTO-3","ESO-NTT - EFOSC2-NTT","1","1","","18.011","orange-ATLAS","2026-04-22 09:36:25.056","ATLAS_Bot1","","","2026TNSTR1763....1T","2026TNSCR1949....1K","",""
"207006","SN 2026kit","14:20:16.540","+09:56:08.55","SN Ia","0.08","","","ATLAS, GOTO, YSE, BlackGEM","ATLAS, GOTO, Pan-STARRS, BlackGEM","ePESSTO+","ATLAS, BlackGEM, GOTO, Pan-STARRS","ATLAS26epr","ATLAS-TDO - ATLAS-05, BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4, GOTO-N - GOTO-1, GOTO-S - GOTO-4, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.081","wide-ATLAS","2026-04-22 00:49:58.080","ATLAS_Bot1","","","2026TNSTR1763....1T","2026TNSCR1936....1K","",""
"207005","SN 2026kis","21:00:10.757","-32:17:05.00","SN Ia","0.03","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26epq","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","18.174","orange-ATLAS","2026-04-19 14:34:01.344","ATLAS_Bot1","","","2026TNSTR1763....1T","2026TNSCR1936....1K","",""
"207004","SN 2026kir","22:06:01.883","-23:31:11.10","SN Ia","0.054","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26epp","ATLAS-CHL - ATLAS-04, GOTO-N - GOTO-2, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","17.974","orange-ATLAS","2026-04-22 08:56:55.104","ATLAS_Bot1","","","2026TNSTR1763....1T","2026TNSCR1949....1K","",""
"206991","SN 2026kif","20:26:56.692","-29:07:06.87","SN II","0.019","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS26epn","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","UH88 - SNIFS","1","1","","17.686","orange-ATLAS","2026-04-22 08:19:21.792","ATLAS_Bot1","","","2026TNSTR1763....1T","2026TNSCR1861....1T","",""
"206990","SN 2026kie","10:52:36.529","+22:55:54.04","SN Ic","0.00424","","","ATLAS, ZTF, GOTO","ATLAS, ZTF, GOTO","Supernova Alliance, DLT40, ePESSTO+","ATLAS, GOTO, ZTF","ATLAS26epm","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, P48 - ZTF-Cam","ANU-2.3m - WiFeS, ESO-NTT - EFOSC2-NTT, Gemini-N - GMOS","1","1","","18.086","orange-ATLAS","2026-04-22 07:31:46.272","ATLAS_Bot1","","","2026TNSTR1763....1T","2026TNSCR1791....1S, 2026TNSCR1788....1B, 2026TNSCR1911....1L, 2026TNSCR1979....1P","",""
"206989","SN 2026kid","15:15:57.226","+56:18:32.09","SN II","0.0017","NGC5907","","ATLAS, ZTF, STSP","ATLAS, ZTF, STSP, TNS","ZTF, AUTOGLASS","ATLAS, STSP, TNS, ZTF","","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, Other - Other, P48 - ZTF-Cam","MMT - BINOSPEC, XLT - BFOSC","1","1","","16.62","Clear-","2026-04-22 14:23:47.000","Yasuo Sano","","","2026TNSTR1769....1S","2026TNSCR1809....1M, 2026TNSCR1797....1R","",""
"206987","SN 2026kib","12:59:53.452","-33:51:31.94","SN Ia","0.047","","","GOTO, ATLAS","GOTO, ATLAS","ePESSTO+","ATLAS, GOTO","GOTO26dnw","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-S - GOTO-3, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","19.12","L-GOTO","2026-04-21 09:30:15.264","GOTO_bot","","","2026TNSTR1764....1O","2026TNSCR1935....1C","",""
"206986","SN 2026kia","10:53:55.518","-16:06:06.72","SN II","0.014577","MCG -03-28-017","0.014577","ASAS-SN, GOTO, ATLAS, ZTF","ASAS-SN, GOTO, ATLAS, ZTF","GOTO","ASAS-SN, ATLAS, GOTO, ZTF","ASASSN-26cz","ASASSN-2 - Cassius, ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-S - GOTO-4, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","16.2","g-Sloan","2026-04-22 02:52:48.000","Krzysztof Stanek","","","2026TNSTR1762....1S","2026TNSCR1811....1P","",""
"206980","SN 2026khv","08:53:27.477","-09:16:58.41","SN Ia","0.08","","","ATLAS, GOTO, ZTF","ATLAS, GOTO, ZTF","ePESSTO+","ATLAS, GOTO, ZTF","ATLAS26epj","ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.172","orange-ATLAS","2026-04-19 00:41:13.632","ATLAS_Bot1","","","2026TNSTR1763....1T","2026TNSCR1935....1C","",""
"206954","SN 2026kgw","17:39:40.560","+14:49:02.18","SN Ia","0.093","DESI J264.9185+14.8169","0.0928297939","ALeRCE, GOTO, ATLAS, WFST","ZTF, GOTO, ATLAS, WFST","ePESSTO+","ATLAS, GOTO, WFST, ZTF","ZTF26aattvur","ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, GOTO-S - GOTO-4, P48 - ZTF-Cam, WFST - WFST-WFC","ESO-NTT - EFOSC2-NTT","1","1","","19.4006","i-ZTF","2026-04-21 10:45:12.004","ALeRCE","","","2026TNSTR1745....1M","2026TNSCR1935....1C","",""
"206925","SN 2026kfw","09:56:52.772","+01:49:59.18","SN Ia","0.21","","","Lasair","Rubin","UCSC","Rubin","LSST-AP-DO-170257199649521669","Rubin - LSSTCam","Keck2 - KCWI","1","1","","22.5328","u-LSST","2026-04-21 00:50:54.240","LVRA","","","2026TNSTR1751....1S","","",""
"206908","SN 2026kff","11:24:59.161","+02:39:45.99","SN Ia","0.063","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26eod","ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1","ESO-NTT - EFOSC2-NTT","1","1","","18.895","orange-ATLAS","2026-04-19 02:47:54.240","ATLAS_Bot1","","","2026TNSTR1725....1T","2026TNSCR1980....1C","",""
"206906","SN 2026kfd","18:52:58.177","-81:39:18.50","SN Ia","0.056","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS26eob","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","19.346","cyan-ATLAS","2026-04-19 01:52:02.784","ATLAS_Bot1","","","2026TNSTR1725....1T","2026TNSCR1949....1K","",""
"206904","SN 2026kfb","21:44:51.569","-55:12:16.86","SN Ia","0.04","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26enz","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","17.405","orange-ATLAS","2026-04-20 08:51:50.112","ATLAS_Bot1","","","2026TNSTR1725....1T","2026TNSCR1936....1K","",""
"206900","SN 2026key","19:25:07.795","-29:18:56.69","SN Ia","0.03","","","GOTO, ATLAS","GOTO, ATLAS","SCAT","ATLAS, GOTO","GOTO26dkv","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-S - GOTO-4","UH88 - SNIFS","1","1","","16.38","L-GOTO","2026-04-14 18:31:42.528","GOTO_bot","","","2026TNSTR1727....1R","2026TNSCR1861....1T","",""
"206891","SN 2026kep","12:59:50.277","-10:58:39.42","SN Ia","0.05","","","ALeRCE, ATLAS, GOTO, Fink","ZTF, ATLAS, GOTO","ePESSTO+","ATLAS, GOTO, ZTF","ZTF26aatmcni","ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, GOTO-S - GOTO-4, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.6694","i-ZTF","2026-04-20 08:05:00.004","ALeRCE","","","2026TNSTR1724....1M","2026TNSCR1935....1C","",""
"206889","SN 2026ken","21:38:50.013","-02:06:02.99","SN Ia","0.135429","SDSS J213850.05-020602.7","","ALeRCE","ZTF","ZTF","ZTF","ZTF26aatqobq","P48 - ZTF-Cam","SOAR - Goodman","1","1","","19.9897","r-ZTF","2026-04-18 12:01:42.997","ALeRCE","","","2026TNSTR1724....1M","2026TNSCR1848....1R","",""
"206834","SN 2026kcp","13:17:50.932","+30:25:11.46","SN Ia","0.03733","","","ZTF, ATLAS, GOTO, Pan-STARRS, WFST","ZTF, ATLAS, GOTO, Pan-STARRS, WFST","ZTF","ATLAS, GOTO, Pan-STARRS, WFST, ZTF","ZTF26aatecol","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2, WFST - WFST-WFC","P60 - SEDM","1","1","","19.8322","r-ZTF","2026-04-17 08:00:37.995","Fritz","","","2026TNSTR1737....1S","2026TNSCR1863....1F","",""
"206833","SN 2026kco","11:50:42.960","-13:23:17.72","SN IIn","0.13","","","ZTF, ATLAS, GOTO","ZTF, ATLAS, GOTO","ePESSTO+","ATLAS, GOTO, ZTF","ZTF26aatdpkc","ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.8965","g-ZTF","2026-04-18 07:31:08.999","Fritz","","","2026TNSTR1737....1S","2026TNSCR1980....1C","",""
"206825","SN 2026kcg","08:30:27.451","+21:09:44.10","SN Ia","0.06","","","ZTF, GOTO, ATLAS","ZTF, GOTO, ATLAS","ePESSTO+","ATLAS, GOTO, ZTF","ZTF26aatifnw","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.6583","i-ZTF","2026-04-17 06:12:57.003","Fritz","","","2026TNSTR1737....1S","2026TNSCR1935....1C","",""
"206824","SN 2026kcf","07:58:28.168","+57:03:41.16","SN Ia","0.040431","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF26aastlux","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.5268","r-ZTF","2026-04-16 04:42:29.001","Fritz","","","2026TNSTR1737....1S","2026TNSCR1901....1F","",""
"206800","SN 2026kbs","12:32:26.608","-68:20:09.87","SN Ib/c","0.019","","","ATLAS, GOTO","ATLAS, GOTO","Supernova Alliance","ATLAS, GOTO","ATLAS26emb","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, GOTO-S - GOTO-4","ANU-2.3m - WiFeS","1","1","","18.967","orange-ATLAS","2026-04-18 04:20:57.408","ATLAS_Bot1","","","2026TNSTR1715....1T","2026TNSCR1774....1R","",""
"206794","SN 2026kbo","20:06:00.988","-52:30:55.88","SN Ia","0.06","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26elt","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","19.332","orange-ATLAS","2026-04-18 08:43:16.032","ATLAS_Bot1","","","2026TNSTR1693....1T","2026TNSCR1935....1C","",""
"206780","SN 2026kba","10:37:19.555","-40:58:32.25","SN IIb","0.02","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26eld","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","19.251","orange-ATLAS","2026-04-15 03:09:58.752","ATLAS_Bot1","","","2026TNSTR1693....1T","2026TNSCR1935....1C","",""
"206755","SN 2026kac","21:46:54.285","+39:03:11.78","SN Ia","0.030418","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF26aatgphb","ATLAS-TDO - ATLAS-05, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.9119","r-ZTF","2026-04-18 10:51:13.000","Fritz","","","2026TNSTR1705....1S","2026TNSCR1902....1P","",""
"206733","SN 2026jzl","16:40:16.563","-10:59:34.45","SN Ib","0.067","","","ZTF, ATLAS, GOTO, Fink","ZTF, ATLAS, GOTO","ZTF","ATLAS, GOTO, ZTF","ZTF26aatbuhc","ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, GOTO-S - GOTO-4, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","20.2607","g-ZTF","2026-04-15 11:04:29.997","Fritz","","","2026TNSTR1705....1S","2026TNSCR2002....1L","",""
"206730","SN 2026jzi","17:22:46.253","+34:15:54.15","SN Ia","0.079","","","ZTF, GOTO, ATLAS, YSE, WFST","ZTF, GOTO, ATLAS, Pan-STARRS, WFST","SCAT","ATLAS, GOTO, Pan-STARRS, WFST, ZTF","ZTF26aaskyqr","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2, WFST - WFST-WFC","UH88 - SNIFS","1","1","","20.1844","g-ZTF","2026-04-14 09:58:04.995","Fritz","","","2026TNSTR1705....1S","2026TNSCR1837....1A","",""
"206672","SN 2026jxj","11:40:08.759","+27:39:36.84","SN Ia","0.053101","","","LAST, ZTF, ATLAS, GOTO, Pan-STARRS, WFST","LAST, ZTF, ATLAS, GOTO, Pan-STARRS, WFST","ZTF","ATLAS, GOTO, LAST, Pan-STARRS, WFST, ZTF","","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam, PS2 - GPC2, WFST - WFST-WFC","P60 - SEDM","1","1","","19.72","Clear-","2026-04-17 17:51:15.552","LAST_Bot1","","","2026TNSTR1669....1O","2026TNSCR1884....1F","",""
"206661","SN 2026jwy","14:14:32.020","+01:43:15.99","SN Ia","0.053","","","WFST, GOTO, ZTF, ATLAS","WFST, GOTO, ZTF, ATLAS","ZTF","ATLAS, GOTO, WFST, ZTF","WFST260414erax","ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, P48 - ZTF-Cam, WFST - WFST-WFC","P200 - NGPS","1","1","","21.52","g-WFST","2026-04-14 15:07:12.000","WFST_SN","","","2026TNSTR1679....1X","2026TNSCR1985....1D","",""
"206565","SN 2026jtl","15:37:55.878","+16:47:29.44","SN Ia","0.054","","","GOTO, ZTF, BlackGEM","GOTO, ZTF, BlackGEM","ZTF","BlackGEM, GOTO, ZTF","GOTO26djj","BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","SOAR - Goodman","1","1","","19.61","L-GOTO","2026-04-13 05:23:49.632","GOTO_bot","","","2026TNSTR1649....1P","2026TNSCR1839....1C","",""
"206561","SN 2026jth","10:48:23.404","+36:30:23.59","SN Ia","0.06","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF26aasglrn","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.4411","r-ZTF","2026-04-09 04:12:40.996","Fritz","","","2026TNSTR1656....1S","2026TNSCR1714....1S","",""
"206534","SN 2026jsg","10:06:55.023","-01:13:49.01","SN Ia","0.033","","","ATLAS, ZTF, GOTO, Pan-STARRS, Fink","ATLAS, ZTF, GOTO, Pan-STARRS","VHU-TDA","ATLAS, GOTO, Pan-STARRS, ZTF","ATLAS26ehr","ATLAS-TDO - ATLAS-05, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS2 - GPC2","FLWO-1.5m - FAST","1","1","","19.126","wide-ATLAS","2026-04-15 22:11:38.400","ATLAS_Bot1","","","2026TNSTR1646....1T","2026TNSCR1760....1D","",""
"206527","SN 2026jrz","18:19:49.606","+35:02:07.44","SN Ia","0.04","","","ATLAS, ZTF, GOTO, WFST","ATLAS, ZTF, GOTO, WFST","SCAT","ATLAS, GOTO, WFST, ZTF","ATLAS26egz","ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, P48 - ZTF-Cam, WFST - WFST-WFC","UH88 - SNIFS","1","1","","19.316","wide-ATLAS","2026-04-15 03:39:29.952","ATLAS_Bot1","","","2026TNSTR1646....1T","2026TNSCR1837....1A","",""
"206522","SN 2026jru","21:31:04.035","-01:36:48.17","SN Ia","0.066139","","","ZTF, ATLAS, BlackGEM, GOTO","ZTF, ATLAS, BlackGEM, GOTO","ZTF","ATLAS, BlackGEM, GOTO, ZTF","ZTF26aaskqon","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4, GOTO-N - GOTO-2, GOTO-S - GOTO-3, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5584","r-ZTF","2026-04-10 12:14:50.999","Fritz","","","2026TNSTR1656....1S","2026TNSCR1814....1J","",""
"206493","SN 2026jqy","17:37:46.128","-00:10:27.29","SN IIn","0.045","SDSS J173746.12-001028.4","","ALeRCE, Fink, ATLAS, GOTO","ZTF, ATLAS, GOTO","ZTF","ATLAS, GOTO, ZTF","ZTF26aasphfk","ATLAS-TDO - ATLAS-05, GOTO-S - GOTO-4, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.9423","r-ZTF","2026-04-15 10:33:17.001","ALeRCE","","","2026TNSTR1627....1M","2026TNSCR1886....1S","",""
"206490","SN 2026jqv","14:18:06.700","+18:27:11.82","SN Ia-pec","0.05","","","ATLAS, WFST","ATLAS, WFST","ZTF","ATLAS, WFST","ATLAS26egk","ATLAS-TDO - ATLAS-05, WFST - WFST-WFC","P60 - SEDM","1","1","","18.593","wide-ATLAS","2026-04-15 02:03:58.176","ATLAS_Bot1","","","2026TNSTR1628....1T","2026TNSCR1816....1S","",""
"206486","SN 2026jqr","15:43:49.397","+30:31:32.48","SN Ia","0.064","","","ATLAS, GOTO, ZTF, WFST","ATLAS, GOTO, ZTF, WFST","ZTF","ATLAS, GOTO, WFST, ZTF","ATLAS26egg","ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, P48 - ZTF-Cam, WFST - WFST-WFC","P60 - SEDM","1","1","","19.396","wide-ATLAS","2026-04-15 01:42:23.040","ATLAS_Bot1","","","2026TNSTR1628....1T","2026TNSCR1903....1J","",""
"206466","SN 2026jqi","21:35:46.821","-63:54:12.77","SN Ic","0.0103","","","ATLAS","ATLAS","Global SN Project, Supernova Alliance","ATLAS","ATLAS26efr","ATLAS-CHL - ATLAS-04","ANU-2.3m - WiFeS, FTS - FLOYDS-S","1","1","","18.808","orange-ATLAS","2026-04-15 09:11:30.336","ATLAS_Bot1","","","2026TNSTR1628....1T","2026TNSCR1708....1F, 2026TNSCR1723....1S","",""
"206462","SN 2026jqe","16:06:49.916","+32:35:07.82","SN Ia","0.065","","","ZTF, ATLAS, GOTO, LAST, Pan-STARRS, YSE","ZTF, ATLAS, GOTO, LAST, Pan-STARRS","ZTF","ATLAS, GOTO, LAST, Pan-STARRS, ZTF","ZTF26aasmvvi","ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.4428","g-ZTF","2026-04-15 08:52:11.003","Fritz","","","2026TNSTR1638....1S","2026TNSCR2000....1F","",""